sale,SKU,date,quantity_sold,brand,price,cost,store,revenue,profit
1,HL1005,1/1/2018,3,Canon,1500,980,Niterói,4500,1560
2,HL1006,1/1/2018,4,Samsung,1400,770,Porto Alegre,5600,2520
3,HL1019,1/1/2018,5,Apple,6500,4160,Salvador,32500,11700
4,HL1024,1/1/2018,2,Acer,2400,1490,Guarulhos,4800,1820
5,HL1012,1/1/2018,1,Dell,5500,2810,Rio de Janeiro,5500,2690
6,HL1006,1/1/2018,3,Samsung,1400,950,Fortaleza,4200,1350
7,HL1018,1/1/2018,5,Xiaomi,1200,680,Goiânia,6000,2600
8,HL1002,1/1/2018,5,Apple,2500,1280,Salvador,12500,6100
9,HL1010,1/1/2018,1,Apple,1900,1330,Niterói,1900,570
10,HL1005,1/1/2018,1,Canon,1500,650,São Paulo,1500,850
11,HL1024,1/1/2018,3,Acer,2400,1660,Curitiba,7200,2220
12,HL1005,1/1/2018,1,Canon,1500,1010,Campinas,1500,490
13,HL1005,1/1/2018,3,Canon,1500,720,São Paulo,4500,2340
14,HL1020,1/1/2018,2,Motorola,1500,600,Curitiba,3000,1800
15,HL1008,1/1/2018,3,Philco,2000,900,São Paulo,6000,3300
16,HL1018,1/1/2018,1,Xiaomi,1200,840,Salvador,1200,360
17,HL1017,1/1/2018,5,Samsung,5200,2960,São Paulo,26000,11200
18,HL1015,1/1/2018,4,Sony,700,460,Salvador,2800,960
19,HL1009,1/1/2018,2,Motorola,1400,950,Goiânia,2800,900
20,HL1009,1/1/2018,2,Motorola,1400,780,São Paulo,2800,1240
21,HL1024,1/1/2018,1,Acer,2400,1080,São Paulo,2400,1320
22,HL1012,1/1/2018,1,Dell,5500,3850,Campinas,5500,1650
23,HL1015,1/1/2018,4,Sony,700,470,Rio de Janeiro,2800,920
24,HL1024,1/1/2018,3,Acer,2400,1390,Fortaleza,7200,3030
25,HL1007,1/1/2018,5,Dell,2300,1240,Recife,11500,5300
26,HL1007,1/1/2018,2,Dell,2300,1430,Rio de Janeiro,4600,1740
27,HL1023,1/1/2018,2,Samsung,1500,1020,Salvador,3000,960
28,HL1018,1/1/2018,3,Xiaomi,1200,730,São Paulo,3600,1410
29,HL1001,1/1/2018,5,LG,2600,1170,Goiânia,13000,7150
30,HL1009,1/1/2018,4,Motorola,1400,700,São Paulo,5600,2800
31,HL1007,1/1/2018,2,Dell,2300,1150,São Paulo,4600,2300
32,HL1024,1/2/2018,5,Acer,2400,1370,Campinas,12000,5150
33,HL1013,1/2/2018,5,Nikon,1550,1020,Belo Horizonte,7750,2650
34,HL1005,1/2/2018,5,Canon,1500,810,Nova Iguaçu,7500,3450
35,HL1001,1/2/2018,4,LG,2600,1740,Curitiba,10400,3440
36,HL1021,1/2/2018,4,Samsung,3000,1920,Rio de Janeiro,12000,4320
37,HL1007,1/2/2018,1,Dell,2300,1380,Porto Alegre,2300,920
38,HL1009,1/2/2018,2,Motorola,1400,630,Guarulhos,2800,1540
39,HL1015,1/2/2018,1,Sony,700,360,Recife,700,340
40,HL1018,1/2/2018,1,Xiaomi,1200,760,São Paulo,1200,440
41,HL1018,1/2/2018,4,Xiaomi,1200,530,São Paulo,4800,2680
42,HL1023,1/2/2018,1,Samsung,1500,900,São Paulo,1500,600
43,HL1020,1/2/2018,2,Motorola,1500,690,São Paulo,3000,1620
44,HL1024,1/2/2018,4,Acer,2400,1510,Belo Horizonte,9600,3560
45,HL1020,1/2/2018,5,Motorola,1500,860,São Paulo,7500,3200
46,HL1003,1/2/2018,2,Samsung,4500,1980,São Paulo,9000,5040
47,HL1005,1/2/2018,3,Canon,1500,710,São Paulo,4500,2370
48,HL1023,1/2/2018,4,Samsung,1500,890,Rio de Janeiro,6000,2440
49,HL1006,1/2/2018,4,Samsung,1400,660,São Paulo,5600,2960
50,HL1020,1/2/2018,1,Motorola,1500,980,Rio de Janeiro,1500,520
51,HL1015,1/2/2018,5,Sony,700,290,Recife,3500,2050
52,HL1001,1/2/2018,1,LG,2600,1720,São Paulo,2600,880
53,HL1015,1/2/2018,4,Sony,700,350,Salvador,2800,1400
54,HL1021,1/2/2018,3,Samsung,3000,1890,Fortaleza,9000,3330
55,HL1012,1/2/2018,1,Dell,5500,3580,São Paulo,5500,1920
56,HL1008,1/2/2018,1,Philco,2000,880,Belo Horizonte,2000,1120
57,HL1015,1/2/2018,5,Sony,700,430,São Paulo,3500,1350
58,HL1013,1/3/2018,1,Nikon,1550,990,Fortaleza,1550,560
59,HL1012,1/3/2018,3,Dell,5500,3410,Belo Horizonte,16500,6270
60,HL1021,1/3/2018,2,Samsung,3000,1350,Guarulhos,6000,3300
61,HL1012,1/3/2018,5,Dell,5500,2750,Salvador,27500,13750
62,HL1019,1/3/2018,1,Apple,6500,3380,São Paulo,6500,3120
63,HL1018,1/3/2018,3,Xiaomi,1200,760,São Paulo,3600,1320
64,HL1002,1/3/2018,3,Apple,2500,1100,São Paulo,7500,4200
65,HL1018,1/3/2018,3,Xiaomi,1200,710,Recife,3600,1470
66,HL1015,1/3/2018,1,Sony,700,300,Rio de Janeiro,700,400
67,HL1011,1/3/2018,5,Samsung,2000,800,Curitiba,10000,6000
68,HL1018,1/3/2018,5,Xiaomi,1200,770,São Paulo,6000,2150
69,HL1005,1/3/2018,3,Canon,1500,620,Goiânia,4500,2640
70,HL1024,1/3/2018,2,Acer,2400,1130,Recife,4800,2540
71,HL1007,1/3/2018,1,Dell,2300,1380,Recife,2300,920
72,HL1019,1/3/2018,1,Apple,6500,3770,Campinas,6500,2730
73,HL1009,1/3/2018,2,Motorola,1400,670,Guarulhos,2800,1460
74,HL1001,1/3/2018,4,LG,2600,1040,Recife,10400,6240
75,HL1006,1/3/2018,4,Samsung,1400,560,Fortaleza,5600,3360
76,HL1015,1/3/2018,5,Sony,700,470,Rio de Janeiro,3500,1150
77,HL1002,1/3/2018,1,Apple,2500,1150,São Paulo,2500,1350
78,HL1007,1/3/2018,5,Dell,2300,1450,Campinas,11500,4250
79,HL1024,1/3/2018,5,Acer,2400,1080,São Paulo,12000,6600
80,HL1013,1/3/2018,2,Nikon,1550,680,São Paulo,3100,1740
81,HL1005,1/3/2018,3,Canon,1500,870,Recife,4500,1890
82,HL1018,1/3/2018,5,Xiaomi,1200,610,Goiânia,6000,2950
83,HL1013,1/3/2018,5,Nikon,1550,1090,Belo Horizonte,7750,2300
84,HL1009,1/3/2018,1,Motorola,1400,920,São Paulo,1400,480
85,HL1001,1/3/2018,3,LG,2600,1170,São Paulo,7800,4290
86,HL1007,1/3/2018,2,Dell,2300,1330,São Paulo,4600,1940
87,HL1008,1/3/2018,2,Philco,2000,900,Rio de Janeiro,4000,2200
88,HL1024,1/4/2018,5,Acer,2400,1320,São Paulo,12000,5400
89,HL1018,1/4/2018,4,Xiaomi,1200,760,São Paulo,4800,1760
90,HL1001,1/4/2018,5,LG,2600,1380,Porto Alegre,13000,6100
91,HL1001,1/4/2018,1,LG,2600,1720,São Paulo,2600,880
92,HL1001,1/4/2018,4,LG,2600,1170,Fortaleza,10400,5720
93,HL1005,1/4/2018,2,Canon,1500,1050,São Paulo,3000,900
94,HL1007,1/4/2018,5,Dell,2300,1380,Salvador,11500,4600
95,HL1002,1/4/2018,3,Apple,2500,1180,Fortaleza,7500,3960
96,HL1001,1/4/2018,5,LG,2600,1740,Recife,13000,4300
97,HL1013,1/4/2018,3,Nikon,1550,900,Nova Iguaçu,4650,1950
98,HL1007,1/4/2018,1,Dell,2300,1310,Recife,2300,990
99,HL1007,1/4/2018,1,Dell,2300,1560,Rio de Janeiro,2300,740
100,HL1019,1/4/2018,2,Apple,6500,2730,Salvador,13000,7540
101,HL1015,1/4/2018,1,Sony,700,280,Salvador,700,420
102,HL1003,1/4/2018,2,Samsung,4500,2700,São Paulo,9000,3600
103,HL1009,1/4/2018,4,Motorola,1400,950,Recife,5600,1800
104,HL1015,1/4/2018,2,Sony,700,340,Curitiba,1400,720
105,HL1005,1/4/2018,2,Canon,1500,830,Rio de Janeiro,3000,1340
106,HL1017,1/4/2018,5,Samsung,5200,3640,Porto Alegre,26000,7800
107,HL1005,1/4/2018,2,Canon,1500,1040,Recife,3000,920
108,HL1021,1/4/2018,3,Samsung,3000,1530,Goiânia,9000,4410
109,HL1003,1/4/2018,3,Samsung,4500,2520,Rio de Janeiro,13500,5940
110,HL1005,1/4/2018,1,Canon,1500,930,Belo Horizonte,1500,570
111,HL1019,1/4/2018,1,Apple,6500,3970,Salvador,6500,2530
112,HL1009,1/4/2018,3,Motorola,1400,840,São Paulo,4200,1680
113,HL1019,1/4/2018,2,Apple,6500,2930,Guarulhos,13000,7140
114,HL1024,1/4/2018,2,Acer,2400,1030,Rio de Janeiro,4800,2740
115,HL1009,1/4/2018,5,Motorola,1400,700,Fortaleza,7000,3500
116,HL1001,1/4/2018,3,LG,2600,1720,Fortaleza,7800,2640
117,HL1015,1/4/2018,3,Sony,700,470,Recife,2100,690
118,HL1021,1/4/2018,3,Samsung,3000,2070,Porto Alegre,9000,2790
119,HL1005,1/4/2018,4,Canon,1500,830,São Paulo,6000,2680
120,HL1009,1/4/2018,1,Motorola,1400,730,Salvador,1400,670
121,HL1015,1/5/2018,4,Sony,700,470,Fortaleza,2800,920
